Foods,GI
"Brown rice, boiled",68
Couscous,65
French fries,63
Millet porridge,67
Muesli,57
Pineapple,59
Popcorn,65
Potato chips,56
"Pumpkin, boiled",64
"Soda, non-diet",59
"Sweet potato, boiled",63
Wheat flake biscuits cereal,69
Wheat roti,62
